Time,Id,Competição,Temporada,Logo
Avai FC,330,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/495_120x120.png
Botafogo RJ,323,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/251_120x120.png
Brasil de Pelotas,6205,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/g6205_120x120.png
Brusque,6227,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/2364_120x120.png
Confiança,3715,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/g3715_120x120.png
Coritiba,324,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/488_120x120.png
CRB,344,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/502_120x120.png
Cruzeiro,304,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/249_120x120.png
CS Alagoano,6294,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/g6294_120x120.png
Goias,307,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/260_120x120.png
Guarani,316,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/534_120x120.png
Londrina,346,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/4357_120x120.png
Nautico,326,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/259_120x120.png
Operário,13217,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/2380_120x120.png
Ponte Preta,301,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/506_120x120.png
Remo,332,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png
Sampaio Corrêa,2833,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/3360_120x120.png
Vasco da Gama,321,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/253_120x120.png
Villa Nova,329,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/503_120x120.png
Vitoria,306,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/527_120x120.png
America MG,337,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/1729_120x120.png
Athletico Paranaense,315,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/254_120x120.png
Atletico GO,6216,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/1716_120x120.png
Atletico MG,317,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/252_120x120.png
Bahia,341,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/501_120x120.png
Ceara,333,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/493_120x120.png
Chapecoense AF,6223,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/2375_120x120.png
Corinthians,320,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/248_120x120.png
Cuiaba,3719,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/3325_120x120.png
Flamengo,318,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/246_120x120.png
Fluminense,312,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/245_120x120.png
Fortaleza,327,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/500_120x120.png
Gremio,313,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/247_120x120.png
Internacional,308,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/255_120x120.png
Juventude,314,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/507_120x120.png
Palmeiras,310,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/250_120x120.png
Red Bull Bragantino,2827,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/498_120x120.png
Santos FC,319,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/244_120x120.png
Sao Paulo,302,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/243_120x120.png
Sport Recife,338,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/258_120x120.png
Parana Clube,309,,,https://cdn5.wyscout.com/photos/team/public/256_120x120.png
Figueirense,303,,,https://cdn5.wyscout.com/photos/team/public/257_120x120.png
Santa Cruz,325,,,https://cdn5.wyscout.com/photos/team/public/1723_120x120.png
Joinville,348,,,https://cdn5.wyscout.com/photos/team/public/2363_120x120.png
Criciuma,305,,,https://cdn5.wyscout.com/photos/team/public/494_120x120.png
Portuguesa,335,,,https://cdn5.wyscout.com/photos/team/public/496_120x120.png
Brasil,349,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/922_120x120.png
Argentina,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/904_120x120.png
Paraguai,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/875_120x120.png
Uruguai,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/920_120x120.png
Chile,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/905_120x120.png
Peru,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/866_120x120.png
Colômbia,473,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/837_120x120.png
Venezuela,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/909_120x120.png
Equador,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/878_120x120.png
Bolivia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/1001_120x120.png
Itália,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/802_120x120.png
Suíça,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/806_120x120.png
Turquia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/817_120x120.png
Gales,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/868_120x120.png
Bélgica,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/830_120x120.png
Dinamarca,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/832_120x120.png
Finlândia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/1329_120x120.png
Rússia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/1002_120x120.png
Áustria,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/803_120x120.png
Holanda,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/804_120x120.png
Macedônia do norte,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/1364_120x120.png
Ucrânia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/1003_120x120.png
Polônia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/815_120x120.png
Eslováquia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/886_120x120.png
Espanha,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/811_120x120.png
Suécia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/810_120x120.png
Croácia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/816_120x120.png
Rep. Tcheca,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/808_120x120.png
Inglaterra,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/867_120x120.png
Escócia,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/892_120x120.png
França,,Seleção,2021,https://cdn5.wyscout.com/photos/team/public/805_120x120.png
